assigned_gid,video,frame,local_track_id,compared_to_gid,cosine_sim,hist_sim,iou
1,Video_1.mp4,28,2,2,0.8056884,0.8347469296511811,0
2,Video_1.mp4,28,3,2,0.9392189,0.9786967291774168,0
0,Video_1.mp4,29,1,0,0.9775235,0.9911153226693619,0
0,Video_1.mp4,29,1,1,0.44203123,0.48577781244705504,0
0,Video_1.mp4,29,1,2,0.39923975,0.3602041988728457,0
1,Video_1.mp4,29,2,1,0.9518119,0.9876563609804352,0
1,Video_1.mp4,29,2,2,0.78137505,0.8317661317558713,0
2,Video_1.mp4,29,3,2,0.9458104,0.9853675619416135,0
0,Video_1.mp4,30,1,0,0.973819,0.9905035099619713,0
0,Video_1.mp4,30,1,1,0.43973663,0.47891104127304057,0
0,Video_1.mp4,30,1,2,0.39847237,0.35464362773915975,0
1,Video_1.mp4,30,2,1,0.9513373,0.9909743070414957,0
1,Video_1.mp4,30,2,2,0.75814366,0.8292392203267626,0
2,Video_1.mp4,30,3,2,0.9440119,0.986628167961462,0
0,Video_1.mp4,31,1,0,0.9756845,0.9861906743545293,0
0,Video_1.mp4,31,1,1,0.43900776,0.4691026372353422,0
0,Video_1.mp4,31,1,2,0.40130526,0.33828808570782637,0
1,Video_1.mp4,31,2,1,0.93753433,0.9834180284625411,0
1,Video_1.mp4,31,2,2,0.79889715,0.8193249716165427,0
2,Video_1.mp4,31,3,2,0.9589709,0.9775343955659082,0
0,Video_1.mp4,32,1,0,0.96958476,0.9854170150332789,0
0,Video_1.mp4,32,1,1,0.44757056,0.48165985488658497,0
0,Video_1.mp4,32,1,2,0.41299075,0.3535873110682091,0
1,Video_1.mp4,32,2,1,0.91962826,0.98677122792458,0
1,Video_1.mp4,32,2,2,0.80387807,0.8308009092770828,0
2,Video_1.mp4,32,3,2,0.95147985,0.9836718929419175,0
0,Video_1.mp4,33,1,0,0.9682749,0.9917038597087494,0
0,Video_1.mp4,33,1,1,0.44654718,0.4694921740280602,0
0,Video_1.mp4,33,1,2,0.42691773,0.3427047057552408,0
1,Video_1.mp4,33,2,1,0.91482437,0.9796147803998843,0
1,Video_1.mp4,33,2,2,0.8156601,0.8377080185317695,0
2,Video_1.mp4,33,3,2,0.91512704,0.983109391493971,0
0,Video_1.mp4,34,1,0,0.9705839,0.9879983801353847,0
0,Video_1.mp4,34,1,1,0.4547537,0.45092846449535856,0
0,Video_1.mp4,34,1,2,0.4377721,0.3206214692046253,0
1,Video_1.mp4,34,2,1,0.9254867,0.9840396269725623,0
1,Video_1.mp4,34,2,2,0.8115078,0.8413820467230732,0
2,Video_1.mp4,34,3,2,0.93011177,0.948196904996569,0
0,Video_1.mp4,35,1,0,0.968995,0.9933050272818728,0
0,Video_1.mp4,35,1,1,0.45385212,0.4531411412933159,0
0,Video_1.mp4,35,1,2,0.43917716,0.33120054147859396,0
1,Video_1.mp4,35,2,1,0.93142897,0.9839134887166412,0
1,Video_1.mp4,35,2,2,0.7908712,0.851154119558412,0
2,Video_1.mp4,35,3,2,0.9018314,0.9836107225750904,0
0,Video_1.mp4,36,1,0,0.9538286,0.9908154354570767,0
0,Video_1.mp4,36,1,1,0.47476315,0.4485038251460226,0
0,Video_1.mp4,36,1,2,0.47623205,0.3342826350140914,0
1,Video_1.mp4,36,2,1,0.935666,0.9919059949675821,0
1,Video_1.mp4,36,2,2,0.78616726,0.8445342684235593,0
2,Video_1.mp4,36,3,2,0.88772666,0.9849028849001485,0
0,Video_1.mp4,37,1,0,0.9338408,0.9926256567268705,0
0,Video_1.mp4,37,1,1,0.49448347,0.451954277172266,0
0,Video_1.mp4,37,1,2,0.49586526,0.3363899531180368,0
1,Video_1.mp4,37,2,1,0.92036074,0.992121937585757,0
1,Video_1.mp4,37,2,2,0.7922107,0.8355596705322965,0
2,Video_1.mp4,37,3,2,0.8914171,0.9501510368599442,0
0,Video_1.mp4,38,1,0,0.9246987,0.9912372355784874,0
0,Video_1.mp4,38,1,1,0.4828009,0.4535393772623196,0
0,Video_1.mp4,38,1,2,0.48653018,0.37587068698183207,0
1,Video_1.mp4,38,2,1,0.9147771,0.9927120673401701,0
1,Video_1.mp4,38,2,2,0.7945249,0.8917058518143514,0
2,Video_1.mp4,38,3,2,0.87681156,0.9772796792368016,0
0,Video_1.mp4,39,1,0,0.92501414,0.9894302614225018,0
0,Video_1.mp4,39,1,1,0.48986006,0.44824112770884433,0
0,Video_1.mp4,39,1,2,0.48830885,0.3713831845464343,0
1,Video_1.mp4,39,2,1,0.9142747,0.9922563212577387,0
1,Video_1.mp4,39,2,2,0.787302,0.890479879809954,0
2,Video_1.mp4,39,3,2,0.88838416,0.9797390296335551,0
0,Video_1.mp4,40,1,0,0.9086904,0.99308353221586,0
0,Video_1.mp4,40,1,1,0.48680297,0.4455231024324007,0
0,Video_1.mp4,40,1,2,0.49545595,0.3704641347844014,0
1,Video_1.mp4,40,2,1,0.8961972,0.9949527796312835,0
1,Video_1.mp4,40,2,2,0.7856192,0.8801084654325336,0
2,Video_1.mp4,40,3,2,0.8984796,0.984238123290009,0
0,Video_1.mp4,41,1,0,0.9261322,0.9943981834771868,0
0,Video_1.mp4,41,1,1,0.48570746,0.4328218966109466,0
0,Video_1.mp4,41,1,2,0.48972315,0.3705835284078412,0
1,Video_1.mp4,41,2,1,0.8946557,0.9957457856694965,0
1,Video_1.mp4,41,2,2,0.7812094,0.8814656033538029,0
2,Video_1.mp4,41,3,2,0.81971896,0.9284652173122029,0
0,Video_1.mp4,42,1,0,0.9390567,0.9898875241087894,0
0,Video_1.mp4,42,1,1,0.47576672,0.42878953998158365,0
0,Video_1.mp4,42,1,2,0.47716346,0.3666061475822975,0
1,Video_1.mp4,42,2,1,0.89751655,0.9935338035611079,0
1,Video_1.mp4,42,2,2,0.78445697,0.8865596282996592,0
2,Video_1.mp4,42,3,2,0.8623014,0.9712043711524201,0
0,Video_1.mp4,43,1,0,0.9347577,0.9916965794535053,0
0,Video_1.mp4,43,1,1,0.47017592,0.4199766078712334,0
0,Video_1.mp4,43,1,2,0.47713786,0.3601905228934961,0
1,Video_1.mp4,43,2,1,0.9136038,0.9925114850510621,0
1,Video_1.mp4,43,2,2,0.7715447,0.8905962188581321,0
2,Video_1.mp4,43,3,2,0.8787013,0.975418764961526,0
0,Video_1.mp4,44,1,0,0.9328805,0.9942276794515765,0
0,Video_1.mp4,44,1,1,0.47362328,0.4144039131786298,0
0,Video_1.mp4,44,1,2,0.47875285,0.3549787005131747,0
1,Video_1.mp4,44,2,1,0.91935337,0.9933915394620694,0
1,Video_1.mp4,44,2,2,0.7768365,0.8994424275234919,0
2,Video_1.mp4,44,3,2,0.8799603,0.98368206265071,0
0,Video_1.mp4,45,1,0,0.938389,0.9953543752759949,0
0,Video_1.mp4,45,1,1,0.4788037,0.4156230719714025,0
0,Video_1.mp4,45,1,2,0.48528835,0.3578996076335484,0
1,Video_1.mp4,45,2,1,0.9105756,0.9917600039385464,0
1,Video_1.mp4,45,2,2,0.78180206,0.8977574426701095,0
2,Video_1.mp4,45,3,2,0.8786917,0.9721534090948712,0
0,Video_1.mp4,46,1,0,0.9437654,0.9929323169245418,0
0,Video_1.mp4,46,1,1,0.4789092,0.4153593119352412,0
0,Video_1.mp4,46,1,2,0.48743516,0.3580773082099426,0
1,Video_1.mp4,46,2,1,0.9189726,0.9925536954628545,0
1,Video_1.mp4,46,2,2,0.78929234,0.8959739302733783,0
